Genus_sp,Stripes
A._biaculeatus,Three
A._ocellaris,Three
A._percula,Three
A._latezonatus,Three
A._akindynos,Two
A._mccullochi,One
A._chrysopterus,Two
A._fuscocaudatus,Three
A._chrysogaster,Three
A._latifasciatus,Two
A._allardi,Two
A._omanensis,Two
A._bicinctus,Two
A._chagosensis,Two
A._nigripes,One
A._polymnus,Two
A._sebae,Two
A._perideraion,One
A._pacificus,None
A._sandaracinos,None
A._akallopisos,None
A._clarkii,Two
A._tricinctus,Three
A._barberi,One
A._rubrocinctus,One
A._melanopus,One
A._ephippium,None
A._frenatus,One
