"Chr_Gene","foregroundomega","Adjusted_P_Value"
"chr07_g34864.t1",96.9712,3.47865843231809e-08
"chr12_g3913.t1",29.34054,3.23721923293651e-06
"chr03_g40543.t1",43.0318,8.61459544700686e-06
"chr20_g2497.t1",21.06122,3.61706706253247e-05
"chr06_g16680.t1",73.97272,6.55782024838462e-05
"chr10_g6849.t1",10.50607,6.55782024838462e-05
"chr10_g53771.t1",32.18958,6.98976562699413e-05
"chr03_g25832.t1",11.22171,9.6911393042391e-05
"chr01_g7319.t1",457.81419,0.000193566417834283
"chr05_g20944.t1",110.04373,0.000193566417834283
"chr23_g7332.t1",85.52669,0.000193566417834283
"chr04_g5396.t1",237.26782,0.000443621532770294
"chr07_g11670.t1",23.44182,0.000443621532770294
"chr10_g33675.t1",250.94152,0.000443621532770294
"chr09_g41103.t1",94.83762,0.000570203245998389
"chr16_g44873.t1",128.22134,0.00068401132456903
"chr18_g2942.t1",999,0.00079440558722367
"chr07_g52796.t1",27.37156,0.000860229779818248
"chr11_g54201.t1",11.04219,0.000863952846005865
"chr02_g39396.t1",999,0.000963657133088829
"chr10_g42782.t1",999,0.000963657133088829
"chr13_g14111.t1",103.93713,0.000963657133088829
"chr14_g27241.t1",42.83857,0.000963657133088829
"chr22_g53184.t1",36.62643,0.000963657133088829
"chr02_g60588.t1",24.85856,0.000985214894497562
"chr10_g32356.t1",999,0.00101178285149852
"chr10_g9201.t1",30.74606,0.00105438696247448
"chr22_g9746.t1",33.32515,0.00105438696247448
"chr22_g52901.t1",58.6411,0.00108341645264634
"chr23_g50975.t1",999,0.00121294421055411
"chr04_g50159.t1",201.83814,0.00124385672179781
"chr05_g20868.t1",217.94367,0.00136501609871909
"chr08_g23024.t1",9.75113,0.001405760158012
"chr01_g49667.t1",848.64548,0.00144579374442147
"chr01_g753.t1",999,0.00145801325476844
"chr07_g23817.t1",85.62056,0.00150746474666697
"chr12_g1434.t1",229.76582,0.00152422906130678
"chr07_g22584.t1",88.70434,0.0019164939955773
"chr08_g2209.t1",51.84642,0.00191919145520458
"chr01_g36146.t1",544.82029,0.00313212213124439
"chr05_g51487.t1",21.10375,0.00313212213124439
"chr16_g42528.t1",110.18049,0.00313212213124439
"chr23_g6192.t1",40.76972,0.00313212213124439
"chr14_g10224.t1",16.51876,0.00487082346693884
"chr07_g2566.t1",133.18381,0.00515227870049158
"chr05_g61019.t1",148.92523,0.00530545802151733
"chr01_g31374.t1",101.02702,0.00539517370498069
"chr07_g18964.t1",115.3065,0.00539517370498069
"chr24_g59422.t1",19.29931,0.00539517370498069
"chr21_g41764.t1",9.91671,0.00547828039408054
"chr12_g6980.t1",5.98814,0.00551213186940873
"chr23_g5001.t1",999,0.00551213186940873
"chr03_g32473.t1",11.98619,0.00555929697160103
"chr19_g20179.t1",34.98955,0.00674976153282724
"chr19_g36399.t2",15.29209,0.00730575632547239
"chr23_g21252.t1",5.26811,0.00749350052532632
"chr09_g46877.t1",16.46346,0.0076213256868575
"chr19_g49025.t1",83.94532,0.0076213256868575
"chr14_g42679.t1",23.12351,0.00766129697690242
"chr06_g22280.t1",92.26982,0.00772388683444441
"chr09_g57874.t2",309.6367,0.00772388683444441
"chr24_g38450.t1",32.45911,0.00772388683444441
"chr01_g7016.t1",48.09751,0.00774032039364992
"chr05_g321.t1",20.49833,0.00774032039364992
"chr11_g36752.t1",19.74309,0.00774032039364992
"chr12_g22162.t1",10.44562,0.00774032039364992
"chr20_g42460.t1",11.40956,0.00774032039364992
"chr21_g18852.t1",999,0.00774032039364992
"chr02_g18557.t1",28.78038,0.00774277551048316
"chr05_g48226.t1",46.29054,0.00777257020721453
"chr11_g2781.t1",445.76595,0.00777257020721453
"chr05_g55189.t1",41.56359,0.0078214064754117
"chr16_g42429.t1",45.31699,0.0078214064754117
"chr24_g12969.t1",27.74806,0.00832712216596249
"chr11_g29023.t1",45.8373,0.0086437664243891
"chr14_g51536.t1",57.175,0.00865570228931824
"chr13_g22009.t1",8.09894,0.00902833520058977
"chr05_g60756.t1",336.38255,0.00949190974733476
"chr05_g2941.t1",63.00541,0.00965603077287354
"chr04_g38314.t1",115.23723,0.00967458483885208
"chr02_g35433.t1",35.48311,0.0103889230526305
"chr12_g12216.t1",9.20527,0.0103889230526305
"chr15_g35310.t1",22.01874,0.0103889230526305
"chr15_g5859.t1",51.21334,0.0103889230526305
"chr17_g23354.t1",7.6537,0.0103889230526305
"chr20_g25985.t1",999,0.0103889230526305
"chr23_g11152.t1",40.09384,0.0103889230526305
"chr04_g40733.t1",6.26261,0.0104122762284438
"chr14_g41737.t1",16.29191,0.0104928758845383
"chr21_g46487.t1",11.89743,0.0106053488501579
"chr22_g42289.t1",48.63498,0.0107282111601486
"chr09_g43028.t1",26.97766,0.0108922611454034
"chr06_g54302.t1",12.55156,0.0110346867702532
"chr23_g54433.t1",9.17479,0.0111194085660038
"chr13_g23899.t1",8.12876,0.0114480578610716
"chr01_g3502.t1",10.38514,0.011888508906022
"chr13_g39758.t1",22.31488,0.011888508906022
"chr22_g22132.t1",999,0.011888508906022
"chr23_g20963.t1",19.5687,0.011888508906022
"chr23_g7858.t1",13.98053,0.011888508906022
"chr06_g10744.t1",18.8509,0.0119163560816217
"chr08_g29535.t1",7.75351,0.0119604100915036
"chr19_g27079.t1",22.42379,0.0119604100915036
"chr06_g38449.t1",134.09437,0.0120230934644958
"chr01_g26255.t1",130.44452,0.0125639288765681
"chr13_g33169.t1",787.97623,0.0125639288765681
"chr16_g40308.t1",22.38677,0.0126571653934964
"chr15_g33268.t1",18.76025,0.0136267480252455
"chr15_g58311.t1",12.97313,0.013729732703385
"chr04_g19231.t1",10.35537,0.0139681468681044
"chr14_g36181.t1",997.34041,0.0139681468681044
"chr16_g31692.t1",999,0.0139681468681044
"chr06_g22497.t1",19.02908,0.0144830286758823
"chr23_g45632.t1",19.2885,0.0144830286758823
"chr02_g24201.t1",5.75233,0.0150770649021068
"chr05_g17061.t1",9.64104,0.0150770649021068
"chr10_g7361.t1",4.42482,0.0150770649021068
"chr19_g47172.t1",24.36987,0.0150770649021068
"chr07_g22564.t1",33.80688,0.0151181664011651
"chr03_g23382.t1",79.99053,0.0162106798228218
"chr03_g26959.t1",55.18773,0.0168942581504041
"chr10_g310.t1",17.57743,0.0177596087481898
"chr24_g18056.t1",48.20282,0.0180480192374026
"chr23_g37056.t1",15.98482,0.018423325334005
"chr13_g10073.t1",40.71468,0.0187214547239024
"chr24_g40259.t1",8.2247,0.0196867163383894
"chr02_g27877.t1",999,0.0198014607679707
"chr11_g44334.t1",10.18778,0.0198014607679707
"chr06_g58054.t1",265.07219,0.0199932974355214
"chr12_g61100.t1",7.76756,0.0200320969412951
"chr13_g20473.t1",13.06785,0.0200320969412951
"chr03_g50578.t1",24.7666,0.0204423812173134
"chr06_g5871.t1",999,0.0204423812173134
"chr10_g42987.t1",77.03606,0.0204423812173134
