gene,logL_H0_run1,logL_H0_run2,logL_H0_run3,best_logL_H0,best_run_H0,logL_H1_run1,logL_H1_run2,logL_H1_run3,best_logL_H1,best_run_H1,foreground_w_H1_run1,foreground_w_H1_run2,foreground_w_H1_run3,best_foreground_w_H1,LRT,p_value
chr01_g10122.t1.Loss.Vert.Bar,-4640.0098,-4640.0098,-4640.0098,-4640.0098,1,-4639.96027,-4639.96027,-4639.96027,-4639.96027,1,1.81035,1.81019,1.81034,1.81035,0.09906000000046333,0.7529606000410157
chr01_g10128.t1.Loss.Vert.Bar,-2877.128149,-2877.128149,-2877.128223,-2877.128149,1,-2877.128149,-2877.128149,-2877.128149,-2877.128149,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1053.t1.Loss.Vert.Bar,-7418.234651,-7418.234651,-7418.234651,-7418.234651,1,-7418.234662,-7418.234651,-7418.234651,-7418.234651,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1058.t1.Loss.Vert.Bar,-841.516975,-841.516974,-841.421221,-841.421221,3,-841.42134,-841.421221,-841.516974,-841.421221,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1061.t1.Loss.Vert.Bar,-2360.703952,-2360.703952,-2360.703952,-2360.703952,1,-2360.703952,-2360.703952,-2359.935424,-2359.935424,3,1.0,1.0,1.0,1.0,1.5370560000001205,0.21505654613803632
chr01_g1065.t1.Loss.Vert.Bar,-1088.210743,-1088.210743,-1088.876107,-1088.210743,1,-1088.210743,-1088.876107,-1088.210743,-1088.210743,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1066.t1.Loss.Vert.Bar,-1829.336048,-1829.336048,-1829.336048,-1829.336048,1,-1829.062611,-1829.062611,-1829.062611,-1829.062611,1,2.76939,2.76937,2.76933,2.76939,0.5468739999996615,0.459597796590307
chr01_g1069.t1.Loss.Vert.Bar,-2412.786739,-2413.397875,-2412.786739,-2412.786739,1,-2413.397875,-2412.786739,-2412.786739,-2412.786739,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1070.t1.Loss.Vert.Bar,-1316.603507,-1316.603507,-1316.603507,-1316.603507,1,-1316.603507,-1316.603507,-1316.603507,-1316.603507,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1071.t1.Loss.Vert.Bar,-1319.592174,-1319.902887,-1319.592174,-1319.592174,1,-1319.902887,-1319.592174,-1319.592174,-1319.592174,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1080.t1.Loss.Vert.Bar,-2318.703818,-2318.703818,-2318.703818,-2318.703818,1,-2318.703818,-2318.703818,-2318.703818,-2318.703818,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1085.t1.Loss.Vert.Bar,-1605.779877,-1605.779877,-1605.779877,-1605.779877,1,-1605.779877,-1605.779877,-1605.779877,-1605.779877,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g10879.t1.Loss.Vert.Bar,-2524.273982,-2524.273926,-2524.273978,-2524.273926,2,-2523.146811,-2523.146811,-2523.146811,-2523.146811,1,6.79218,6.79213,6.79217,6.79218,2.254229999999552,0.13324972014656947
chr01_g1089.t1.Loss.Vert.Bar,-5642.185583,-5642.185583,-5642.185583,-5642.185583,1,-5642.185583,-5642.185583,-5642.185583,-5642.185583,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1091.t1.Loss.Vert.Bar,-4086.241243,-4086.241243,-4086.241243,-4086.241243,1,-4086.241243,-4086.241243,-4086.241243,-4086.241243,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Loss.Vert.Bar,-8550.31682,-8546.737529,-8550.31686,-8546.737529,2,-8549.576811,-8549.577229,-8549.577041,-8549.576811,1,999.0,999.0,999.0,999.0,-5.678564000001643,1.0
chr01_g11028.t1.Loss.Vert.Bar,-1380.763351,-1379.741955,-1379.741808,-1379.741808,3,-1379.741808,-1379.741808,-1379.741808,-1379.741808,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g11046.t1.Loss.Vert.Bar,-630.607176,-630.607176,-630.50175,-630.50175,3,-630.607176,-630.607176,-630.50175,-630.50175,3,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g11197.t1.Loss.Vert.Bar,-1684.56491,-1684.564909,-1684.564909,-1684.564909,2,-1684.564909,-1684.564909,-1684.564909,-1684.564909,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1141.t1.Loss.Vert.Bar,-2942.780043,-2942.780043,-2942.780043,-2942.780043,1,-2941.771032,-2941.771032,-2941.771032,-2941.771032,1,6.30114,6.30095,6.30098,6.30114,2.018022000000201,0.15544151072348894
chr01_g1142.t1.Loss.Vert.Bar,-3073.088442,-3073.088443,-3073.088442,-3073.088442,1,-3073.088442,-3073.088442,-3073.088442,-3073.088442,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g11432.t1.Loss.Vert.Bar,-2516.51459,-2516.514591,-2516.51459,-2516.51459,1,-2515.066327,-2515.066327,-2515.066327,-2515.066327,1,8.52572,8.52519,8.52551,8.52572,2.896526000000449,0.08877067924459249
chr01_g1145.t1.Loss.Vert.Bar,-2401.979075,-2401.979076,-2401.979075,-2401.979075,1,-2401.979076,-2401.979075,-2401.979076,-2401.979075,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1146.t1.Loss.Vert.Bar,-2536.210893,-2536.210893,-2536.210986,-2536.210893,1,-2536.210893,-2536.210893,-2536.210894,-2536.210893,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1151.t1.Loss.Vert.Bar,-3071.975546,-3071.975546,-3071.975546,-3071.975546,1,-3071.650108,-3071.650108,-3071.650108,-3071.650108,1,115.37095,115.37677,115.37181,115.37095,0.6508760000006077,0.4197996607370297
chr01_g1152.t2.Loss.Vert.Bar,-2112.527701,-2112.527701,-2112.527701,-2112.527701,1,-2112.527701,-2112.527701,-2112.527701,-2112.527701,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1157.t1.Loss.Vert.Bar,-4315.10948,-4315.10948,-4315.10948,-4315.10948,1,-4315.10948,-4315.10948,-4315.10948,-4315.10948,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1158.t1.Loss.Vert.Bar,-2285.382413,-2285.382413,-2285.382413,-2285.382413,1,-2285.354632,-2285.354632,-2285.354632,-2285.354632,1,1.77901,1.77876,1.77895,1.77901,0.055561999999554246,0.8136531072481675
