gene,logL_H0_run1,logL_H0_run2,logL_H0_run3,best_logL_H0,best_run_H0,logL_H1_run1,logL_H1_run2,logL_H1_run3,best_logL_H1,best_run_H1,foreground_w_H1_run1,foreground_w_H1_run2,foreground_w_H1_run3,best_foreground_w_H1,LRT,p_value
chr01_g10122.t1.Gain.Vert.Bar,-4639.701553,-4639.701554,-4639.701553,-4639.701553,1,-4639.698192,-4639.698192,-4639.698192,-4639.698192,1,1.09377,1.09378,1.09379,1.09377,0.006722000000081607,0.9346564118240439
chr01_g10128.t1.Gain.Vert.Bar,-2877.128517,-2877.128226,-2877.128198,-2877.128198,3,-2877.128149,-2875.741799,-2875.741799,-2875.741799,2,1.0,32.82774,32.82774,32.82774,2.772797999999966,0.09587843285905696
chr01_g1053.t1.Gain.Vert.Bar,-7418.088907,-7418.088908,-7418.088909,-7418.088907,1,-7417.425844,-7417.425841,-7417.425845,-7417.425841,2,10.53399,10.54156,10.53106,10.54156,1.3261320000001433,0.24949450642082202
chr01_g1058.t1.Gain.Vert.Bar,-839.329108,-839.424912,-839.329108,-839.329108,1,-838.328992,-838.434125,-838.429295,-838.328992,1,999.0,111.52805,208.14307,999.0,2.0002320000000964,0.1572751329099046
chr01_g1061.t1.Gain.Vert.Bar,-2360.662246,-2360.662246,-2360.662246,-2360.662246,1,-2359.715067,-2359.715067,-2359.715067,-2359.715067,1,2.96369,2.96369,2.96372,2.96369,1.8943579999995563,0.16871120027682462
chr01_g1065.t1.Gain.Vert.Bar,-1087.609849,-1087.609849,-1087.609849,-1087.609849,1,-1088.63364,-1088.63364,-1087.609849,-1087.609849,3,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1066.t1.Gain.Vert.Bar,-1829.398155,-1829.398155,-1829.398155,-1829.398155,1,-1827.284632,-1827.284632,-1827.284632,-1827.284632,1,6.07516,6.07517,6.07515,6.07516,4.227045999999973,0.03978462595020339
chr01_g1069.t1.Gain.Vert.Bar,-2412.369672,-2412.369672,-2412.369672,-2412.369672,1,-2412.369672,-2412.369672,-2412.369672,-2412.369672,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1070.t1.Gain.Vert.Bar,-1316.603507,-1316.603507,-1316.603595,-1316.603507,1,-1316.603507,-1316.603552,-1316.603507,-1316.603507,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1071.t1.Gain.Vert.Bar,-1318.852784,-1318.852784,-1318.852784,-1318.852784,1,-1318.852784,-1318.852784,-1318.852784,-1318.852784,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1080.t1.Gain.Vert.Bar,-2319.353146,-2319.353146,-2319.353146,-2319.353146,1,-2317.800113,-2317.800113,-2317.800113,-2317.800113,1,105.81883,105.81801,105.81702,105.81883,3.1060660000002827,0.07800115235776363
chr01_g1085.t1.Gain.Vert.Bar,-1605.780112,-1605.779877,-1605.779877,-1605.779877,2,-1605.780142,-1605.779877,-1605.780092,-1605.779877,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g10879.t1.Gain.Vert.Bar,-2523.396317,-2523.396317,-2523.396317,-2523.396317,1,-2523.296511,-2523.296511,-2523.296511,-2523.296511,1,1.66437,1.66437,1.66435,1.66437,0.19961200000034296,0.6550342108577943
chr01_g1089.t1.Gain.Vert.Bar,-5640.418086,-5640.418086,-5640.418086,-5640.418086,1,-5639.135648,-5639.135648,-5639.135648,-5639.135648,1,7.51811,7.51784,7.51785,7.51811,2.5648759999985487,0.1092611244277197
chr01_g1091.t1.Gain.Vert.Bar,-4083.099439,-4083.099439,-4083.099439,-4083.099439,1,-4083.099439,-4083.099439,-4083.099439,-4083.099439,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Gain.Vert.Bar,-8551.083543,-8551.114487,-8551.083456,-8551.083456,3,-8551.08342,-8550.603697,-8550.603683,-8550.603683,3,1.0,1.0,1.0,1.0,0.9595460000018647,0.3273012892692946
chr01_g11028.t1.Gain.Vert.Bar,-1379.231319,-1379.231307,-1379.231316,-1379.231307,2,-1378.594702,-1378.594661,-1378.594688,-1378.594661,2,164.65087,164.66022,164.64828,164.66022,1.2732919999998558,0.2591500102499284
chr01_g11046.t1.Gain.Vert.Bar,-630.50175,-630.607176,-630.607176,-630.50175,1,-630.607176,-630.607176,-630.607176,-630.607176,1,1.0,1.0,1.0,1.0,-0.21085199999993165,1.0
chr01_g11197.t1.Gain.Vert.Bar,-1684.564913,-1684.564909,-1684.56497,-1684.564909,2,-1684.564909,-1684.564909,-1684.564909,-1684.564909,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1141.t1.Gain.Vert.Bar,-2943.497389,-2943.497389,-2943.497389,-2943.497389,1,-2943.497389,-2943.497389,-2943.497389,-2943.497389,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1142.t1.Gain.Vert.Bar,-3071.367515,-3071.367519,-3071.367515,-3071.367515,1,-3071.345168,-3071.345168,-3071.345168,-3071.345168,1,1.34437,1.34416,1.34425,1.34437,0.044694000000163214,0.8325677013260975
chr01_g11432.t1.Gain.Vert.Bar,-2516.730462,-2516.730462,-2516.731501,-2516.730462,1,-2516.730462,-2516.730462,-2516.730462,-2516.730462,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1145.t1.Gain.Vert.Bar,-2401.733878,-2401.733878,-2401.810294,-2401.733878,1,-2401.733878,-2401.733878,-2401.733878,-2401.733878,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1146.t1.Gain.Vert.Bar,-2536.210892,-2536.210907,-2536.210893,-2536.210892,1,-2536.210938,-2536.210893,-2536.210957,-2536.210893,2,1.0,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g1151.t1.Gain.Vert.Bar,-3071.860077,-3071.863721,-3071.860077,-3071.860077,1,-3071.161134,-3071.161134,-3071.161134,-3071.161134,1,7.71569,7.71571,7.71573,7.71569,1.397885999999744,0.2370778440061979
chr01_g1152.t2.Gain.Vert.Bar,-2111.490037,-2111.490037,-2111.490037,-2111.490037,1,-2108.557037,-2108.557037,-2108.557037,-2108.557037,1,17.90372,17.90367,17.90366,17.90372,5.8659999999999854,0.015436087126862452
chr01_g1157.t1.Gain.Vert.Bar,-4315.109479,-4315.10948,-4315.10948,-4315.109479,1,-4315.10948,-4315.10948,-4315.10948,-4315.10948,1,1.0,1.0,1.0,1.0,-2.0000006770715117e-06,1.0
