gene,logL_H0,logL_H1,logL_M1a,tree_length_H0,tree_length_H1,tree_length_M1a,foreground_w_H0,foreground_w_H1,foreground_w_M1a,LRT_H1,p_value_H1
chr01_g749.t1.Loss.Vert.Bar,-2957.821693,-2957.821693,-2957.821693,0.51859,0.51859,0.51859,1.0,1.0,1.0,0.0,1.0
chr01_g751.t1.Loss.Vert.Bar,-4973.80254,-4973.802382,-4973.802365,0.26223,0.26222,0.26223,1.0,1.0,1.0,0.00031599999965692405,0.9858172407723043
chr01_g753.t1.Loss.Vert.Bar,-1075.345129,-1075.345129,-1075.345129,0.22223,0.22223,0.22223,1.0,1.0,1.0,0.0,1.0
chr01_g755.t1.Loss.Vert.Bar,-1885.451875,-1885.451875,-1885.451875,1.11764,1.11764,1.11764,1.0,1.0,1.0,0.0,1.0
chr01_g756.t1.Loss.Vert.Bar,-4510.1358,-4509.720719,-4510.64698,3.40648,3.40655,3.40443,1.0,2.68733,1.0,0.8301620000002004,0.36222568920301446
chr01_g758.t1.Loss.Vert.Bar,-2182.101239,-2182.101394,-2182.101204,0.14584,0.14584,0.14583,1.0,1.0,1.0,-0.0003099999994446989,1.0
chr01_g1053.t1.Loss.Vert.Bar,-7418.234651,-7418.234651,-7418.234651,0.22066,0.22066,0.22066,1.0,1.0,1.0,0.0,1.0
chr01_g1058.t1.Loss.Vert.Bar,-841.516974,-841.421221,-841.421337,0.22794,0.22794,0.22794,1.0,1.0,1.0,0.19150600000011764,0.6616661315405208
chr01_g1061.t1.Loss.Vert.Bar,-2360.703952,-2360.703952,-2360.703952,1.10129,1.10129,1.10129,1.0,1.0,1.0,0.0,1.0
chr01_g1065.t1.Loss.Vert.Bar,-1088.210743,-1088.876107,-1088.87618,0.91691,0.91657,0.91657,1.0,1.0,1.0,-1.3307279999999082,1.0
chr01_g1066.t1.Loss.Vert.Bar,-1829.336048,-1829.062611,-1830.588969,1.17073,1.1719,1.17049,1.0,2.76937,1.0,0.5468739999996615,0.459597796590307
chr01_g1069.t1.Loss.Vert.Bar,-2413.397875,-2412.786739,-2413.397875,0.25288,0.25281,0.25288,1.0,1.0,1.0,1.2222719999999754,0.26891523154748453
chr01_g1070.t1.Loss.Vert.Bar,-1316.603507,-1316.603507,-1316.603507,0.38595,0.38594,0.38595,1.0,1.0,1.0,0.0,1.0
chr01_g1071.t1.Loss.Vert.Bar,-1319.902887,-1319.592174,-1319.592174,0.31546,0.31546,0.31546,1.0,1.0,1.0,0.6214259999997012,0.43051786861560637
chr01_g1080.t1.Loss.Vert.Bar,-2318.703818,-2318.703818,-2319.787704,0.26666,0.26666,0.26626,1.0,1.0,1.0,0.0,1.0
chr01_g1085.t1.Loss.Vert.Bar,-1605.779877,-1605.779877,-1605.779959,0.11715,0.11714,0.11715,1.0,1.0,1.0,0.0,1.0
chr01_g1089.t1.Loss.Vert.Bar,-5642.185583,-5642.185583,-5642.185583,0.61142,0.61142,0.61142,1.0,1.0,1.0,0.0,1.0
chr01_g1091.t1.Loss.Vert.Bar,-4086.241243,-4086.241243,-4086.241243,1.91545,1.91545,1.91545,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Loss.Vert.Bar,-8546.737529,-8549.577229,-8550.603703,0.01694,0.01685,0.01693,1.0,999.0,1.0,-5.679400000000896,1.0
chr01_g1141.t1.Loss.Vert.Bar,-2942.780043,-2941.771032,-2943.497389,0.56795,0.56927,0.56834,1.0,6.30095,1.0,2.018022000000201,0.15544151072348894
chr01_g1142.t1.Loss.Vert.Bar,-3073.088443,-3073.088442,-3073.088442,0.32855,0.32855,0.32854,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g1145.t1.Loss.Vert.Bar,-2401.979076,-2401.979075,-2401.97944,0.28949,0.28949,0.2895,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g1146.t1.Loss.Vert.Bar,-2536.210893,-2536.210893,-2536.210912,0.15891,0.15891,0.15889,1.0,1.0,1.0,0.0,1.0
chr01_g1151.t1.Loss.Vert.Bar,-3071.975546,-3071.650108,-3071.977398,0.53504,0.54237,0.53497,1.0,115.37677,1.0,0.6508760000006077,0.4197996607370297
chr01_g1152.t2.Loss.Vert.Bar,-2112.527701,-2112.527701,-2112.527701,0.24576,0.24576,0.24576,1.0,1.0,1.0,0.0,1.0
chr01_g1157.t1.Loss.Vert.Bar,-4315.10948,-4315.10948,-4315.109479,0.47329,0.47329,0.47328,1.0,1.0,1.0,0.0,1.0
chr01_g1158.t1.Loss.Vert.Bar,-2285.382413,-2285.354632,-2285.455923,0.32955,0.32957,0.32922,1.0,1.77876,1.0,0.055561999999554246,0.8136531072481675
