"Gene","Adjusted_P_Value"
"chr08_g47650.t1",0.0146399770757627
"chr24_g18164.t1",0.0146399770757627
"chr07_g51429.t1",0.0286267832787296
"chr21_g26529.t1",0.0301718685787595
"chr22_g17597.t1",0.0301718685787595
"chr02_g49931.t1",0.0301718685787595
"chr13_g15529.t1",0.0327296020242129
"chr14_g38053.t1",0.0327296020242129
"chr01_g6499.t1",0.0327296020242129
"chr15_g33521.t1",0.0327296020242129
"chr07_g47377.t1",0.0327296020242129
"chr18_g8239.t1",0.0328664399905452
"chr03_g46177.t1",0.0337512146013955
"chr15_g20550.t1",0.0347881921398635
"chr01_g31373.t1",0.0426533237456008
"chr05_g15780.t1",0.049744696175289
"chr10_g56840.t1",0.0517099942198152
"chr13_g41323.t1",0.0517099942198152
"chr11_g2638.t1",0.0520450574370742
"chr06_g22488.t1",0.0520450574370742
"chr14_g39233.t1",0.0520450574370742
"chr18_g54905.t1",0.054452090255905
"chr03_g14192.t1",0.0580542532332724
"chr13_g24283.t1",0.0598880731758265
"chr18_g8238.t1",0.0606095848803367
"chr18_g52716.t1",0.0606095848803367
"chr10_g42106.t1",0.0606095848803367
"chr14_g38409.t1",0.0606095848803367
"chr20_g2510.t1",0.0606095848803367
"chr08_g3947.t1",0.0606095848803367
"chr03_g21527.t2",0.0606095848803367
"chr15_g47828.t1",0.0606095848803367
"chr21_g25969.t1",0.0611008112822952
"chr04_g51793.t1",0.0657386773478151
"chr09_g6987.t1",0.0657386773478151
"chr15_g25683.t1",0.0657386773478151
"chr13_g15527.t1",0.0713349298002353
"chr03_g18596.t1",0.0757792380768502
"chr04_g11611.t1",0.0757792380768502
"chr23_g53861.t1",0.0761233799828986
"chr18_g19296.t1",0.0761233799828986
"chr05_g59775.t1",0.077628243297196
"chr08_g16834.t1",0.0778957358599103
"chr09_g48706.t1",0.0778957358599103
"chr04_g39982.t1",0.0796129943609396
"chr08_g45963.t1",0.0809867375747322
"chr14_g34299.t1",0.0809867375747322
"chr03_g46414.t1",0.0837754319619338
"chr09_g31895.t1",0.0855184489787006
"chr05_g47608.t1",0.0855184489787006
"chr04_g12509.t1",0.0855184489787006
"chr05_g17895.t1",0.0855184489787006
"chr18_g37354.t1",0.0855184489787006
"chr07_g53451.t1",0.087907515093495
"chr03_g32464.t1",0.087907515093495
"chr17_g48689.t1",0.087907515093495
"chr17_g5338.t1",0.087907515093495
"chr18_g35581.t1",0.100743987441336
"chr09_g31281.t1",0.100743987441336
"chr12_g28578.t1",0.100743987441336
"chr15_g15033.t1",0.100743987441336
"chr03_g28878.t1",0.100743987441336
"chr10_g56902.t1",0.100743987441336
"chr18_g22617.t1",0.102880357095377
"chr02_g36163.t1",0.102880357095377
"chr14_g12382.t1",0.102880357095377
"chr03_g38364.t1",0.102880357095377
"chr02_g19491.t1",0.102880357095377
"chr06_g58284.t1",0.102880357095377
"chr15_g49388.t1",0.102880357095377
"chr23_g59627.t1",0.102880357095377
"chr24_g30147.t1",0.102880357095377
"chr08_g14028.t1",0.102880357095377
"chr21_g34539.t1",0.102880357095377
"chr05_g35575.t1",0.102880357095377
"chr02_g27893.t1",0.102880357095377
"chr02_g42354.t1",0.102880357095377
"chr05_g6898.t1",0.102880357095377
"chr09_g16547.t1",0.102880357095377
"chr11_g5197.t1",0.102880357095377
"chr07_g29770.t1",0.102880357095377
"chr08_g60792.t1",0.102880357095377
"chr17_g26166.t1",0.102880357095377
"chr11_g32937.t1",0.102880357095377
"chr17_g700.t1",0.102880357095377
"chr17_g32539.t1",0.102880357095377
"chr01_g60612.t1",0.102880357095377
"chr10_g41905.t1",0.102880357095377
"chr13_g47453.t1",0.102880357095377
