gene,logL_H0,logL_H1,logL_M1a,tree_length_H0,tree_length_H1,tree_length_M1a,foreground_w_H0,foreground_w_H1,foreground_w_M1a,LRT_H1,p_value_H1
chr01_g749.t1.Loss.Vert.Bar,-2957.821693,-2957.821693,-2957.821693,0.51858,0.51858,0.51859,1.0,1.0,1.0,0.0,1.0
chr01_g751.t1.Loss.Vert.Bar,-4973.802362,-4973.802386,-4973.802365,0.26221,0.26221,0.26223,1.0,1.0,1.0,-4.799999987881165e-05,1.0
chr01_g753.t1.Loss.Vert.Bar,-1075.345129,-1075.345129,-1077.767133,0.22223,0.22223,0.2221,1.0,1.0,1.0,0.0,1.0
chr01_g755.t1.Loss.Vert.Bar,-1885.451875,-1885.451875,-1885.451875,1.11764,1.11764,1.11764,1.0,1.0,1.0,0.0,1.0
chr01_g756.t1.Loss.Vert.Bar,-4510.1358,-4509.720719,-4510.64698,3.40647,3.40655,3.40443,1.0,2.68735,1.0,0.8301620000002004,0.36222568920301446
chr01_g758.t1.Loss.Vert.Bar,-2182.101248,-2182.101205,-2182.101205,0.14584,0.14585,0.14585,1.0,1.0,1.0,8.600000001024455e-05,0.9926008290341632
chr01_g1053.t1.Loss.Vert.Bar,-7418.234651,-7418.234651,-7418.234648,0.22066,0.22066,0.22065,1.0,1.0,1.0,0.0,1.0
chr01_g1058.t1.Loss.Vert.Bar,-841.421221,-841.516974,-841.51698,0.22793,0.22794,0.22794,1.0,1.0,1.0,-0.19150600000011764,1.0
chr01_g1061.t1.Loss.Vert.Bar,-2360.703952,-2359.935424,-2360.703952,1.10129,1.10143,1.10129,1.0,1.0,1.0,1.5370560000001205,0.21505654613803632
chr01_g1065.t1.Loss.Vert.Bar,-1088.876107,-1088.210743,-1088.210743,0.91657,0.91691,0.91691,1.0,1.0,1.0,1.3307279999999082,0.2486757471302442
chr01_g1066.t1.Loss.Vert.Bar,-1829.336048,-1829.062611,-1830.588969,1.17073,1.1719,1.17049,1.0,2.76933,1.0,0.5468739999996615,0.459597796590307
chr01_g1069.t1.Loss.Vert.Bar,-2412.786739,-2412.786739,-2413.397875,0.25281,0.2528,0.25287,1.0,1.0,1.0,0.0,1.0
chr01_g1070.t1.Loss.Vert.Bar,-1316.603507,-1316.603507,-1316.603507,0.38595,0.38594,0.38595,1.0,1.0,1.0,0.0,1.0
chr01_g1071.t1.Loss.Vert.Bar,-1319.592174,-1319.592174,-1319.592174,0.31546,0.31546,0.31546,1.0,1.0,1.0,0.0,1.0
chr01_g1080.t1.Loss.Vert.Bar,-2318.703818,-2318.703818,-2319.787704,0.26666,0.26666,0.26626,1.0,1.0,1.0,0.0,1.0
chr01_g1085.t1.Loss.Vert.Bar,-1605.779877,-1605.779877,-1605.779959,0.11715,0.11714,0.11715,1.0,1.0,1.0,0.0,1.0
chr01_g1089.t1.Loss.Vert.Bar,-5642.185583,-5642.185583,-5642.185583,0.61142,0.61141,0.61141,1.0,1.0,1.0,0.0,1.0
chr01_g1091.t1.Loss.Vert.Bar,-4086.241243,-4086.241243,-4086.241243,1.91545,1.91545,1.91545,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Loss.Vert.Bar,-8550.31686,-8549.577041,-8551.113081,0.01693,0.01684,0.01638,1.0,999.0,1.0,1.4796380000007048,0.2238311691471898
chr01_g1141.t1.Loss.Vert.Bar,-2942.780043,-2941.771032,-2943.497389,0.56795,0.56927,0.56834,1.0,6.30098,1.0,2.018022000000201,0.15544151072348894
chr01_g1142.t1.Loss.Vert.Bar,-3073.088442,-3073.088442,-3073.088442,0.32855,0.32855,0.32855,1.0,1.0,1.0,0.0,1.0
chr01_g1145.t1.Loss.Vert.Bar,-2401.979075,-2401.979076,-2401.97944,0.28949,0.28949,0.2895,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g1146.t1.Loss.Vert.Bar,-2536.210986,-2536.210894,-2536.210892,0.15889,0.15891,0.1589,1.0,1.0,1.0,0.00018400000044493936,0.9891772991244809
chr01_g1151.t1.Loss.Vert.Bar,-3071.975546,-3071.650108,-3071.977398,0.53504,0.54236,0.53497,1.0,115.37181,1.0,0.6508760000006077,0.4197996607370297
chr01_g1152.t2.Loss.Vert.Bar,-2112.527701,-2112.527701,-2112.527701,0.24575,0.24576,0.24576,1.0,1.0,1.0,0.0,1.0
chr01_g1157.t1.Loss.Vert.Bar,-4315.10948,-4315.10948,-4315.10948,0.47329,0.47329,0.47329,1.0,1.0,1.0,0.0,1.0
chr01_g1158.t1.Loss.Vert.Bar,-2285.382413,-2285.354632,-2285.455923,0.32955,0.32957,0.32921,1.0,1.77895,1.0,0.055561999999554246,0.8136531072481675
chr01_g1159.t1.Loss.Vert.Bar,-4784.338205,-4784.338207,-4784.338208,0.27381,0.27383,0.27383,1.0,1.0,1.0,-3.99999953515362e-06,1.0
chr01_g1168.t1.Loss.Vert.Bar,-6279.225112,-6279.219783,-6279.250307,0.19421,0.19421,0.19418,1.0,1.71048,1.0,0.010658000001058099,0.9177744067328568
chr01_g1169.t1.Loss.Vert.Bar,-1226.229565,-1226.229546,-1226.229519,0.20265,0.20265,0.20265,1.0,1.0,1.0,3.80000001314329e-05,0.9950815403823922
chr01_g1170.t1.Loss.Vert.Bar,-847.468299,-841.601267,-841.614915,0.84787,0.86565,0.86402,1.0,4.37544,1.0,11.73406399999999,0.0006136644002183881
chr01_g1171.t1.Loss.Vert.Bar,-4442.0535,-4441.282619,-4442.0535,0.26608,0.26613,0.26608,1.0,1.0,1.0,1.5417620000007446,0.21435572544256337
chr01_g1172.t1.Loss.Vert.Bar,-5434.414545,-5434.414545,-5434.414546,0.42195,0.42196,0.42196,1.0,1.0,1.0,0.0,1.0
chr01_g1173.t1.Loss.Vert.Bar,-6424.787206,-6424.785863,-6424.785867,0.21265,0.21265,0.21267,1.0,1.0,1.0,0.0026859999998123385,0.9586668331398981
chr01_g1178.t1.Loss.Vert.Bar,-858.534868,-858.534868,-858.534929,0.08577,0.08577,0.08577,1.0,1.0,1.0,0.0,1.0
chr01_g1179.t1.Loss.Vert.Bar,-3952.679807,-3952.679807,-3952.679807,0.34714,0.34714,0.34714,1.0,1.0,1.0,0.0,1.0
chr01_g1185.t1.Loss.Vert.Bar,-1750.84879,-1751.192271,-1751.522257,0.14792,0.14801,0.14785,1.0,1.0,1.0,-0.6869619999997667,1.0
chr01_g1480.t1.Loss.Vert.Bar,-8975.646121,-8975.645979,-8975.64598,0.70437,0.70436,0.70437,1.0,1.0,1.0,0.0002839999979187269,0.9865544468530663
chr01_g1481.t1.Loss.Vert.Bar,-2882.060719,-2882.060719,-2882.060719,0.17413,0.17413,0.17413,1.0,1.0,1.0,0.0,1.0
chr01_g1484.t1.Loss.Vert.Bar,-1344.312626,-1344.312626,-1344.312667,0.22006,0.22006,0.22006,1.0,1.0,1.0,0.0,1.0
chr01_g1487.t1.Loss.Vert.Bar,-1518.454945,-1518.454945,-1518.454945,1.48985,1.48986,1.48986,1.0,1.0,1.0,0.0,1.0
chr01_g1488.t1.Loss.Vert.Bar,-10496.625388,-10496.621398,-10496.851328,0.75608,0.75609,0.75609,1.0,1.2066,1.0,0.007980000002135057,0.9288189806944431
chr01_g1489.t1.Loss.Vert.Bar,-2811.608875,-2811.604473,-2811.670345,0.28564,0.28564,0.28552,1.0,1.41758,1.0,0.008804000000054657,0.9252444919133307
chr01_g1496.t1.Loss.Vert.Bar,-2217.378433,-2217.378433,-2216.694056,0.17025,0.17025,0.17264,1.0,1.0,1.0,0.0,1.0
chr01_g1499.t1.Loss.Vert.Bar,-3559.777507,-3559.77693,-3561.463542,0.14773,0.14773,0.14751,1.0,1.0,1.0,0.0011539999995875405,0.9729006145048288
chr01_g1501.t1.Loss.Vert.Bar,-2911.486432,-2910.348801,-2911.937935,1.33406,1.33771,1.33301,1.0,5.14905,1.0,2.2752620000001116,0.13145290879873395
chr01_g1503.t1.Loss.Vert.Bar,-2442.178866,-2442.178866,-2442.178866,0.30704,0.30704,0.30704,1.0,1.0,1.0,0.0,1.0
chr01_g1507.t1.Loss.Vert.Bar,-898.93341,-899.811338,-898.282227,0.15864,0.15857,0.15867,1.0,1.0,1.0,-1.7558559999999943,1.0
chr01_g1508.t1.Loss.Vert.Bar,-9562.943101,-9562.943139,-9562.943862,0.24255,0.24253,0.24237,1.0,4.08471,1.0,-7.60000002628658e-05,1.0
chr01_g1509.t1.Loss.Vert.Bar,-3694.2154,-3694.203876,-3694.236911,0.26941,0.26942,0.26941,1.0,2.03648,1.0,0.023048000000017055,0.8793323164396826
chr01_g1510.t1.Loss.Vert.Bar,-2881.06323,-2881.025781,-2881.165363,0.2298,0.22982,0.22981,1.0,2.61004,1.0,0.07489800000075775,0.7843343995156583
chr01_g1519.t1.Loss.Vert.Bar,-4013.751405,-4013.751388,-4013.751388,0.13211,0.13212,0.13211,1.0,1.0,1.0,3.399999968678458e-05,0.9953475998933636
