"Gene","Adjusted_P_Value"
"chr23_g27743.t1",0.0038930423710792
"chr14_g3220.t1",0.00963893346090886
"chr08_g55688.t1",0.00963893346090886
"chr24_g36696.t1",0.00963893346090886
"chr18_g3583.t1",0.00963893346090886
"chr12_g35337.t1",0.00963893346090886
"chr06_g21719.t1",0.00963893346090886
"chr03_g54506.t1",0.00963893346090886
"chr11_g16152.t1",0.00963893346090886
"chr06_g3798.t1",0.00963893346090886
"chr15_g48775.t1",0.00963893346090886
"chr03_g728.t1",0.0102217864045604
"chr17_g9265.t1",0.0113415891892393
"chr05_g60809.t1",0.0115679542143089
"chr19_g55060.t1",0.0130722123647681
"chr07_g22575.t1",0.0131766796076078
"chr13_g31181.t1",0.0158125718978227
"chr15_g7952.t1",0.0158125718978227
"chr14_g6646.t1",0.0158125718978227
"chr16_g11945.t1",0.0158125718978227
"chr05_g25181.t1",0.0158125718978227
"chr15_g48772.t1",0.0183515174496983
"chr22_g3884.t1",0.0198816623254691
"chr02_g60589.t1",0.0198816623254691
"chr09_g3437.t1",0.0202665592505683
"chr08_g34382.t1",0.0202665592505683
"chr10_g38438.t1",0.0202665592505683
"chr21_g28007.t1",0.0202665592505683
"chr06_g8905.t1",0.0202665592505683
"chr07_g48554.t1",0.0202665592505683
"chr14_g50478.t1",0.0202665592505683
"chr10_g54789.t1",0.0202665592505683
"chr15_g28117.t1",0.0202665592505683
"chr17_g33980.t1",0.0202665592505683
"chr05_g61019.t1",0.0202665592505683
"chr15_g19783.t1",0.0205924864343785
"chr22_g22014.t1",0.0231736332113598
"chr07_g21452.t1",0.0231736332113598
"chr12_g36392.t1",0.0231736332113598
"chr17_g19497.t1",0.0231736332113598
"chr05_g7095.t1",0.0231736332113598
"chr16_g2982.t1",0.0231736332113598
"chr08_g33841.t1",0.0234409869749241
"chr04_g20781.t1",0.0236133609832377
"chr13_g4968.t1",0.0250206436721897
"chr13_g2521.t1",0.0257214670553177
"chr04_g33410.t1",0.026319398834178
"chr24_g35558.t1",0.0287801606133377
"chr08_g21985.t1",0.0297103208035266
"chr16_g35345.t1",0.029853851045816
"chr11_g60729.t1",0.0312905498543639
"chr14_g54585.t1",0.0312905498543639
"chr21_g36692.t1",0.0329152524628375
"chr23_g5357.t1",0.0329152524628375
"chr02_g59245.t1",0.0329152524628375
"chr14_g44491.t1",0.0329152524628375
"chr19_g19445.t1",0.0329152524628375
"chr09_g53122.t1",0.0329152524628375
"chr08_g57908.t1",0.0329152524628375
"chr08_g12716.t1",0.0329152524628375
"chr11_g48629.t1",0.0329152524628375
"chr16_g55261.t1",0.0329336876698467
"chr11_g16231.t1",0.0331936192588292
"chr23_g38099.t1",0.0331936192588292
"chr19_g36748.t1",0.0366947744391262
"chr13_g39334.t1",0.0366947744391262
"chr04_g37704.t1",0.0366947744391262
"chr13_g2522.t1",0.0366947744391262
"chr11_g3644.t1",0.0392009408906934
"chr10_g39140.t1",0.0392679217327097
"chr24_g54269.t1",0.0398485620020624
"chr06_g54189.t1",0.0400988798043571
"chr11_g55781.t1",0.0400988798043571
"chr24_g22931.t1",0.0405172912096699
"chr19_g4383.t1",0.0405172912096699
"chr18_g55455.t1",0.0405172912096699
"chr12_g40682.t1",0.0405172912096699
"chr07_g54821.t1",0.0405172912096699
"chr06_g58521.t1",0.0405397349536183
"chr21_g34492.t1",0.0407256191064831
"chr03_g44896.t1",0.0407256191064831
"chr21_g24979.t1",0.0413380487785772
"chr02_g34126.t1",0.0425259894892417
"chr05_g32757.t1",0.0429123565268672
"chr19_g32074.t1",0.0429123565268672
"chr08_g21984.t1",0.0429123565268672
"chr16_g11054.t1",0.0429123565268672
"chr06_g32548.t1",0.0429123565268672
"chr04_g8116.t1",0.0429123565268672
"chr14_g53330.t1",0.0429123565268672
"chr23_g31939.t1",0.0429123565268672
"chr04_g52173.t1",0.0429123565268672
"chr15_g46971.t1",0.0429123565268672
"chr14_g18193.t1",0.0429123565268672
"chr16_g54898.t1",0.0429123565268672
"chr22_g53174.t1",0.0431894586327134
"chr21_g59319.t1",0.0445783363034006
"chr08_g57404.t1",0.0446163880468399
"chr09_g15851.t1",0.0446163880468399
"chr04_g58839.t1",0.0446501150651026
"chr06_g22995.t2",0.045348990323013
"chr06_g22995.t1",0.0458822244058487
