gene,logL_H0,logL_H1,logL_M1a,tree_length_H0,tree_length_H1,tree_length_M1a,foreground_w_H0,foreground_w_H1,foreground_w_M1a,LRT_H1,p_value_H1
chr01_g749.t1.Gain.Vert.Bar,-2955.078847,-2955.078847,-2957.821693,0.51885,0.51884,0.51859,1.0,1.0,1.0,0.0,1.0
chr01_g751.t1.Gain.Vert.Bar,-4973.802363,-4973.802365,-4973.802365,0.26222,0.26223,0.26223,1.0,1.0,1.0,-3.99999953515362e-06,1.0
chr01_g753.t1.Gain.Vert.Bar,-1074.492158,-1063.509043,-1077.767133,0.2218,0.23295,0.2221,1.0,999.0,1.0,21.966229999999996,2.7749028774820817e-06
chr01_g755.t1.Gain.Vert.Bar,-1884.849141,-1884.849141,-1885.451875,1.11842,1.11842,1.11764,1.0,1.0,1.0,0.0,1.0
chr01_g756.t1.Gain.Vert.Bar,-4508.646922,-4508.646922,-4510.64698,3.40319,3.40319,3.40443,1.0,1.0,1.0,0.0,1.0
chr01_g758.t1.Gain.Vert.Bar,-2181.470358,-2181.470358,-2182.101204,0.14582,0.14582,0.14585,1.0,1.0,1.0,0.0,1.0
chr01_g1053.t1.Gain.Vert.Bar,-7418.088907,-7417.425844,-7418.234651,0.22069,0.22104,0.22066,1.0,10.53399,1.0,1.326125999999931,0.2494955774546596
chr01_g1058.t1.Gain.Vert.Bar,-839.329108,-838.328992,-841.516835,0.22855,0.2284,0.22794,1.0,999.0,1.0,2.0002320000000964,0.1572751329099046
chr01_g1061.t1.Gain.Vert.Bar,-2360.662246,-2359.715067,-2360.704111,1.10099,1.10778,1.10129,1.0,2.96369,1.0,1.8943579999995563,0.16871120027682462
chr01_g1065.t1.Gain.Vert.Bar,-1087.609849,-1088.63364,-1088.210743,0.9155,0.91569,0.91691,1.0,1.0,1.0,-2.0475820000001477,1.0
chr01_g1066.t1.Gain.Vert.Bar,-1829.398155,-1827.284632,-1830.588969,1.17431,1.18287,1.17049,1.0,6.07516,1.0,4.227045999999973,0.03978462595020339
chr01_g1069.t1.Gain.Vert.Bar,-2412.369672,-2412.369672,-2412.786739,0.25255,0.25255,0.25281,1.0,1.0,1.0,0.0,1.0
chr01_g1070.t1.Gain.Vert.Bar,-1316.603507,-1316.603507,-1316.603507,0.38594,0.38594,0.38594,1.0,1.0,1.0,0.0,1.0
chr01_g1071.t1.Gain.Vert.Bar,-1318.852784,-1318.852784,-1319.592174,0.31574,0.31573,0.31546,1.0,1.0,1.0,0.0,1.0
chr01_g1080.t1.Gain.Vert.Bar,-2319.353146,-2317.800113,-2319.787704,0.26587,0.28107,0.26626,1.0,105.81883,1.0,3.1060660000002827,0.07800115235776363
chr01_g1085.t1.Gain.Vert.Bar,-1605.780112,-1605.780142,-1605.779959,0.11715,0.11714,0.11715,1.0,1.0,1.0,-6.000000030326191e-05,1.0
chr01_g1089.t1.Gain.Vert.Bar,-5640.418086,-5639.135648,-5642.185583,0.61144,0.6126,0.61141,1.0,7.51811,1.0,2.5648759999985487,0.1092611244277197
chr01_g1091.t1.Gain.Vert.Bar,-4083.099439,-4083.099439,-4086.241243,1.91658,1.91658,1.91545,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Gain.Vert.Bar,-8551.083543,-8551.08342,-8551.084319,0.01692,0.01688,0.01688,1.0,1.0,1.0,0.0002459999996062834,0.9874861827328804
chr01_g1141.t1.Gain.Vert.Bar,-2943.497389,-2943.497389,-2943.497389,0.56834,0.56834,0.56834,1.0,1.0,1.0,0.0,1.0
chr01_g1142.t1.Gain.Vert.Bar,-3071.367515,-3071.345168,-3073.088442,0.32843,0.32851,0.32855,1.0,1.34437,1.0,0.044694000000163214,0.8325677013260975
chr01_g1145.t1.Gain.Vert.Bar,-2401.733878,-2401.733878,-2402.147928,0.28961,0.2896,0.28957,1.0,1.0,1.0,0.0,1.0
chr01_g1146.t1.Gain.Vert.Bar,-2536.210892,-2536.210938,-2536.210892,0.1589,0.15891,0.15889,1.0,1.0,1.0,-9.200000022246968e-05,1.0
chr01_g1151.t1.Gain.Vert.Bar,-3071.860077,-3071.161134,-3071.977398,0.53494,0.53695,0.53497,1.0,7.71569,1.0,1.397885999999744,0.2370778440061979
chr01_g1152.t2.Gain.Vert.Bar,-2111.490037,-2108.557037,-2112.527701,0.24596,0.25106,0.24576,1.0,17.90372,1.0,5.8659999999999854,0.015436087126862452
chr01_g1157.t1.Gain.Vert.Bar,-4315.109479,-4315.10948,-4315.10962,0.47329,0.47329,0.47329,1.0,1.0,1.0,-2.0000006770715117e-06,1.0
chr01_g1158.t1.Gain.Vert.Bar,-2284.286453,-2284.215371,-2285.455923,0.32996,0.3301,0.32922,1.0,1.91569,1.0,0.14216400000077556,0.7061391109327289
chr01_g1159.t1.Gain.Vert.Bar,-4780.990257,-4780.724316,-4784.338208,0.27353,0.27371,0.27383,1.0,1.85692,1.0,0.5318820000011328,0.46581670060013525
chr01_g1168.t1.Gain.Vert.Bar,-6278.810635,-6278.810635,-6279.25031,0.19418,0.19418,0.19419,1.0,1.0,1.0,0.0,1.0
chr01_g1169.t1.Gain.Vert.Bar,-1226.185465,-1226.153271,-1226.229561,0.20242,0.20268,0.20265,1.0,3.4922,1.0,0.06438800000023548,0.7996903210375418
chr01_g1170.t1.Gain.Vert.Bar,-840.729723,-840.516467,-841.614915,0.8643,0.86505,0.86402,1.0,2.15143,1.0,0.42651200000000244,0.5137054387952934
chr01_g1171.t1.Gain.Vert.Bar,-4441.282619,-4441.232329,-4442.053647,0.26613,0.26612,0.26608,1.0,1.0,1.0,0.10057999999844469,0.7511347184932249
chr01_g1172.t1.Gain.Vert.Bar,-5434.414546,-5434.414546,-5434.414545,0.42196,0.42196,0.42196,1.0,1.0,1.0,0.0,1.0
chr01_g1173.t1.Gain.Vert.Bar,-6424.68746,-6424.687387,-6424.785867,0.21269,0.21269,0.21267,1.0,1.0,1.0,0.00014600000031350646,0.9903593587493551
chr01_g1178.t1.Gain.Vert.Bar,-858.492269,-858.492193,-858.534929,0.08571,0.08571,0.08577,1.0,1.0,1.0,0.00015199999984361057,0.9901632676841784
chr01_g1179.t1.Gain.Vert.Bar,-3952.679568,-3947.245973,-3952.679807,0.34712,0.35783,0.34714,1.0,80.42792,1.0,10.867189999999937,0.0009788293353925242
chr01_g1185.t1.Gain.Vert.Bar,-1750.563141,-1751.522397,-1750.563205,0.14774,0.14785,0.14773,1.0,1.0,1.0,-1.9185119999997369,1.0
chr01_g1480.t1.Gain.Vert.Bar,-8975.595394,-8969.336246,-8975.64598,0.70448,0.71651,0.70437,1.0,51.53577,1.0,12.518295999998372,0.0004029862507370621
chr01_g1481.t1.Gain.Vert.Bar,-2881.954531,-2881.954531,-2883.33575,0.17429,0.17429,0.17412,1.0,1.0,1.0,0.0,1.0
chr01_g1484.t1.Gain.Vert.Bar,-1344.312626,-1344.312626,-1344.312626,0.22005,0.22005,0.22006,1.0,1.0,1.0,0.0,1.0
chr01_g1487.t1.Gain.Vert.Bar,-1518.341255,-1518.341255,-1518.454945,1.48892,1.48892,1.48986,1.0,1.0,1.0,0.0,1.0
chr01_g1488.t1.Gain.Vert.Bar,-10495.430602,-10495.12734,-10496.851328,0.75534,0.75624,0.75609,1.0,2.88723,1.0,0.6065240000025369,0.43609959542156496
chr01_g1489.t1.Gain.Vert.Bar,-2811.634829,-2811.634829,-2811.670345,0.28551,0.28551,0.28552,1.0,1.0,1.0,0.0,1.0
chr01_g1496.t1.Gain.Vert.Bar,-2217.375507,-2217.373939,-2217.378433,0.17025,0.17026,0.17025,1.0,1.0,1.0,0.0031360000002678134,0.9553418071608968
chr01_g1499.t1.Gain.Vert.Bar,-3561.450492,-3561.452738,-3561.463539,0.14749,0.14752,0.14749,1.0,1.0,1.0,-0.004492000000027474,1.0
