gene,logL_H0,logL_H1,logL_M1a,tree_length_H0,tree_length_H1,tree_length_M1a,foreground_w_H0,foreground_w_H1,foreground_w_M1a,LRT_H1,p_value_H1
chr01_g749.t1.Gain.Vert.Bar,-2955.078847,-2955.078847,-2957.821693,0.51884,0.51885,0.51859,1.0,1.0,1.0,0.0,1.0
chr01_g751.t1.Gain.Vert.Bar,-4973.802365,-4973.802365,-4973.802365,0.26223,0.26223,0.26223,1.0,1.0,1.0,0.0,1.0
chr01_g753.t1.Gain.Vert.Bar,-1074.492158,-1063.509043,-1075.345129,0.2218,0.23295,0.22223,1.0,999.0,1.0,21.966229999999996,2.7749028774820817e-06
chr01_g755.t1.Gain.Vert.Bar,-1884.849141,-1884.84916,-1885.451875,1.11842,1.11842,1.11764,1.0,1.0,1.0,-3.80000001314329e-05,1.0
chr01_g756.t1.Gain.Vert.Bar,-4508.646922,-4508.646922,-4510.64698,3.40319,3.40319,3.40443,1.0,1.0,1.0,0.0,1.0
chr01_g758.t1.Gain.Vert.Bar,-2181.470358,-2181.470358,-2182.101205,0.14582,0.14582,0.14585,1.0,1.0,1.0,0.0,1.0
chr01_g1053.t1.Gain.Vert.Bar,-7418.088909,-7417.425845,-7418.234651,0.22069,0.22103,0.22066,1.0,10.53106,1.0,1.3261280000006082,0.24949522044264594
chr01_g1058.t1.Gain.Vert.Bar,-839.329108,-838.429295,-841.421363,0.22855,0.2284,0.22794,1.0,208.14307,1.0,1.7996259999999893,0.1797577162318406
chr01_g1061.t1.Gain.Vert.Bar,-2360.662246,-2359.715067,-2360.704148,1.10099,1.10778,1.10129,1.0,2.96372,1.0,1.8943579999995563,0.16871120027682462
chr01_g1065.t1.Gain.Vert.Bar,-1087.609849,-1087.609849,-1088.876107,0.9155,0.9155,0.91656,1.0,1.0,1.0,0.0,1.0
chr01_g1066.t1.Gain.Vert.Bar,-1829.398155,-1827.284632,-1830.588969,1.17431,1.18287,1.17049,1.0,6.07515,1.0,4.227045999999973,0.03978462595020339
chr01_g1069.t1.Gain.Vert.Bar,-2412.369672,-2412.369672,-2413.397875,0.25255,0.25255,0.25288,1.0,1.0,1.0,0.0,1.0
chr01_g1070.t1.Gain.Vert.Bar,-1316.603595,-1316.603507,-1316.603507,0.38594,0.38594,0.38595,1.0,1.0,1.0,0.00017600000001039007,0.9894151756319773
chr01_g1071.t1.Gain.Vert.Bar,-1318.852784,-1318.852784,-1319.592174,0.31573,0.31573,0.31546,1.0,1.0,1.0,0.0,1.0
chr01_g1080.t1.Gain.Vert.Bar,-2319.353146,-2317.800113,-2319.787704,0.26587,0.28107,0.26626,1.0,105.81702,1.0,3.1060660000002827,0.07800115235776363
chr01_g1085.t1.Gain.Vert.Bar,-1605.779877,-1605.780092,-1605.779959,0.11715,0.11715,0.11715,1.0,1.0,1.0,-0.00043000000005122274,1.0
chr01_g1089.t1.Gain.Vert.Bar,-5640.418086,-5639.135648,-5642.185583,0.61144,0.6126,0.61142,1.0,7.51785,1.0,2.5648759999985487,0.1092611244277197
chr01_g1091.t1.Gain.Vert.Bar,-4083.099439,-4083.099439,-4086.241243,1.91658,1.91658,1.91545,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Gain.Vert.Bar,-8551.083456,-8550.603683,-8550.603697,0.01688,0.01693,0.01693,1.0,1.0,1.0,0.9595460000018647,0.3273012892692946
chr01_g1141.t1.Gain.Vert.Bar,-2943.497389,-2943.497389,-2943.497389,0.56833,0.56834,0.56834,1.0,1.0,1.0,0.0,1.0
chr01_g1142.t1.Gain.Vert.Bar,-3071.367515,-3071.345168,-3073.088442,0.32843,0.32851,0.32854,1.0,1.34425,1.0,0.044694000000163214,0.8325677013260975
chr01_g1145.t1.Gain.Vert.Bar,-2401.810294,-2401.733878,-2401.97944,0.28952,0.2896,0.2895,1.0,1.0,1.0,0.15283199999976205,0.6958435562074727
chr01_g1146.t1.Gain.Vert.Bar,-2536.210893,-2536.210957,-2536.210892,0.15891,0.1589,0.15891,1.0,1.0,1.0,-0.00012799999967683107,1.0
chr01_g1151.t1.Gain.Vert.Bar,-3071.860077,-3071.161134,-3071.977398,0.53494,0.53695,0.53497,1.0,7.71573,1.0,1.397885999999744,0.2370778440061979
chr01_g1152.t2.Gain.Vert.Bar,-2111.490037,-2108.557037,-2112.527701,0.24596,0.25106,0.24576,1.0,17.90366,1.0,5.8659999999999854,0.015436087126862452
chr01_g1157.t1.Gain.Vert.Bar,-4315.10948,-4315.10948,-4315.10948,0.47329,0.47329,0.47329,1.0,1.0,1.0,0.0,1.0
chr01_g1158.t1.Gain.Vert.Bar,-2284.286453,-2284.215371,-2285.455923,0.32996,0.3301,0.32922,1.0,1.91564,1.0,0.14216400000077556,0.7061391109327289
chr01_g1159.t1.Gain.Vert.Bar,-4780.990257,-4780.724316,-4784.338207,0.27353,0.27371,0.27383,1.0,1.85692,1.0,0.5318820000011328,0.46581670060013525
chr01_g1168.t1.Gain.Vert.Bar,-6278.810635,-6278.810636,-6279.250311,0.19418,0.19418,0.19419,1.0,1.0,1.0,-2.0000006770715117e-06,1.0
chr01_g1169.t1.Gain.Vert.Bar,-1226.185434,-1226.153264,-1226.22952,0.20242,0.20268,0.20265,1.0,3.49184,1.0,0.06433999999990192,0.7997634102590279
chr01_g1170.t1.Gain.Vert.Bar,-840.729723,-840.516467,-841.614915,0.8643,0.86505,0.86402,1.0,2.15143,1.0,0.42651200000000244,0.5137054387952934
