"Chr_Gene","foregroundomega","Adjusted_P_Value"
"chr05_g61140.t1",4.73618,2.39051800619958e-12
"chr08_g45930.t1",70.03589,1.98881451478667e-08
"chr03_g41940.t1",104.64723,2.11373080635512e-07
"chr24_g59417.t1",42.6964,5.01012761508876e-07
"chr07_g5404.t1",303.73706,7.7074181919593e-07
"chr05_g38987.t1",207.3527,8.49359694816817e-07
"chr07_g35112.t1",276.83739,1.21173950236469e-06
"chr14_g40179.t1",135.49114,9.03112528887707e-06
"chr02_g33197.t1",56.96509,9.42540610787207e-06
"chr03_g36675.t1",37.63483,1.63220518435306e-05
"chr03_g55293.t1",56.23709,1.63220518435306e-05
"chr23_g31713.t1",18.32266,3.10978691447894e-05
"chr03_g39261.t1",184.06737,3.32288789394287e-05
"chr09_g43028.t1",23.97845,3.45894615428758e-05
"chr24_g42182.t1",51.05214,3.78503594933424e-05
"chr12_g24504.t1",33.81257,4.10181771901349e-05
"chr01_g8907.t1",46.78354,4.95121408267395e-05
"chr02_g18556.t1",69.26604,6.18448323335357e-05
"chr15_g35310.t1",23.04771,6.18448323335357e-05
"chr13_g33162.t1",114.82102,8.8988162315078e-05
"chr24_g14295.t1",64.19802,0.000321957250089911
"chr07_g4615.t1",71.63504,0.000331122964503576
"chr08_g35997.t1",999,0.000331122964503576
"chr21_g24940.t1",70.68263,0.00044593476784934
"chr22_g25736.t1",22.37491,0.000462878817624175
"chr08_g12194.t1",88.36384,0.000890333596785439
"chr16_g49708.t1",33.23728,0.00134358491149262
"chr10_g40649.t1",22.13105,0.00232989039317364
"chr21_g47093.t2",58.51845,0.00232989039317364
"chr23_g20957.t1",13.00106,0.0028594640451896
"chr06_g35729.t1",43.85095,0.00319778479276828
"chr09_g16925.t1",37.3881,0.00491976236745907
"chr18_g56343.t1",44.12442,0.00507184634721943
"chr07_g27890.t1",45.03094,0.0056977858648684
"chr10_g1779.t1",24.99593,0.0056977858648684
"chr12_g10981.t1",76.02564,0.0056977858648684
"chr13_g23293.t1",19.96961,0.0056977858648684
"chr13_g9084.t1",160.71158,0.0056977858648684
"chr23_g4249.t1",5.62596,0.0056977858648684
"chr24_g44564.t1",999,0.0057948072469601
"chr19_g51573.t1",153.34659,0.00686074474858512
"chr08_g7242.t1",20.9888,0.00806176059230454
"chr02_g30789.t1",935.54834,0.00968167984505606
"chr22_g26583.t1",35.85675,0.0116493812637107
"chr23_g15188.t1",98.25116,0.0118959601178131
"chr24_g8157.t1",11.93465,0.0122795462695394
"chr10_g10384.t1",4.81806,0.0142040957915342
"chr08_g45936.t1",36.89724,0.0150472184410464
"chr22_g1938.t1",36.15253,0.015213869246829
"chr06_g4360.t1",13.36013,0.0156461607859311
"chr07_g49323.t1",47.37151,0.015701484123838
"chr16_g1547.t1",41.89619,0.0179534286230277
"chr08_g38621.t1",18.84656,0.0199007144756071
"chr06_g1772.t1",43.08391,0.0207605614519665
"chr12_g9057.t1",10.37123,0.0221033650405132
"chr05_g53601.t1",156.01265,0.0245298743373139
"chr19_g16137.t1",31.14327,0.0247006053644322
"chr10_g59825.t1",43.84419,0.0269991612391472
"chr23_g11565.t1",16.70399,0.0321488579708219
"chr18_g9440.t1",21.47994,0.0325773744118538
"chr08_g45938.t1",107.73739,0.0329836719189468
"chr21_g26680.t1",70.74116,0.0329836719189468
"chr11_g32422.t1",7.83937,0.0381239904962095
"chr24_g12969.t1",15.43508,0.044109499923329
"chr09_g16920.t1",37.11081,0.0474336438798993
"chr08_g58925.t1",22.48595,0.0504037508188845
"chr06_g42721.t1",27.35011,0.0534865955075929
"chr02_g5644.t1",53.03902,0.0563046912955052
"chr18_g50016.t1",300.28818,0.0563046912955052
"chr11_g31745.t1",58.04434,0.0570136926131935
"chr05_g60759.t1",103.37996,0.0596775665173828
"chr19_g38220.t1",141.5555,0.0596775665173828
"chr15_g28408.t1",33.81018,0.0616106523512214
"chr03_g12792.t1",25.62494,0.0626843128396946
"chr04_g41145.t1",14.87961,0.0626843128396946
"chr20_g18741.t1",48.4786,0.0626843128396946
"chr14_g2084.t1",9.19244,0.0639965628825015
"chr06_g60892.t1",164.02555,0.0721381932102068
"chr10_g57602.t1",112.54552,0.0760100856185267
"chr16_g468.t1",50.76047,0.0760100856185267
"chr21_g54371.t2",999,0.0760100856185267
"chr22_g50877.t1",76.98128,0.0760100856185267
"chr09_g26374.t1",82.54097,0.0806228696455572
"chr13_g39758.t1",17.03185,0.0808781065689849
"chr23_g36258.t1",298.57176,0.0808781065689849
"chr15_g25636.t1",1,0.0889995830325321
"chr20_g23584.t1",82.66975,0.0889995830325321
"chr07_g44792.t1",78.49938,0.0932879409125311
"chr14_g39233.t1",22.27684,0.0932879409125311
"chr17_g31016.t1",7.64442,0.0932879409125311
"chr24_g12968.t1",105.91309,0.0934712265874642
"chr05_g26280.t1",120.11029,0.094303169296935
"chr21_g556.t1",17.72045,0.094303169296935
"chr05_g35016.t1",6.70141,0.0973572191758609
"chr13_g1866.t1",80.65909,0.0978150204420741
"chr08_g15152.t1",8.62169,0.0984825029766098
"chr04_g28370.t1",44.25693,0.10207554171353
"chr13_g21103.t1",999,0.106637346002951
"chr13_g36798.t1",18.97602,0.106637346002951
"chr15_g15983.t1",92.57559,0.106637346002951
"chr21_g43970.t1",31.75504,0.106637346002951
"chr06_g45778.t1",75.4291,0.111329789801097
"chr12_g7938.t1",253.78976,0.111329789801097
"chr14_g42514.t1",29.86913,0.111329789801097
"chr21_g12330.t1",37.64847,0.111329789801097
"chr21_g14844.t1",25.05114,0.111329789801097
"chr20_g2013.t1",47.09276,0.11314781503068
"chr03_g10519.t1",40.08387,0.115410448863626
"chr09_g16926.t1",42.15434,0.115410448863626
"chr17_g58852.t1",47.64513,0.115410448863626
"chr12_g52382.t1",31.29702,0.121167770096178
"chr23_g41619.t1",74.81659,0.125018874925829
"chr10_g29413.t1",87.37788,0.131421142148639
"chr10_g47451.t1",9.72619,0.131421142148639
"chr10_g59161.t1",167.82418,0.131421142148639
"chr12_g24503.t1",15.43648,0.131421142148639
"chr10_g32357.t1",133.73978,0.132925869298991
"chr16_g51869.t1",122.44234,0.132925869298991
"chr20_g2497.t1",16.85302,0.132925869298991
"chr11_g53593.t1",52.25391,0.139376376224923
"chr02_g19359.t1",8.67598,0.139819723912124
"chr15_g13376.t1",999,0.139819723912124
"chr21_g543.t1",14.58355,0.139819723912124
"chr03_g40629.t1",18.3014,0.148024307003507
"chr06_g30934.t1",65.61582,0.15097173776769
"chr14_g3239.t1",999,0.151016905761658
"chr12_g11462.t1",43.00676,0.153400527744349
"chr05_g35236.t1",7.63563,0.153560820763466
"chr06_g28980.t1",999,0.154695823928509
"chr16_g27545.t1",12.08798,0.155863825563098
"chr11_g19390.t1",30.9453,0.156139359127364
"chr06_g49834.t1",9.47568,0.162580845080215
"chr08_g20661.t1",700.77727,0.163205393456696
"chr08_g19673.t1",21.37257,0.163800716042955
"chr01_g23279.t1",39.81274,0.171682615478606
"chr11_g38153.t1",999,0.17216242444948
"chr10_g10690.t1",999,0.184670433879207
"chr10_g37790.t1",130.94921,0.184670433879207
"chr12_g59490.t1",13.18343,0.194152827696817
"chr17_g32184.t1",113.36904,0.198730648911845
"chr23_g33163.t1",20.67733,0.203472055840808
"chr06_g52601.t1",999,0.208053463816241
"chr07_g51429.t1",56.68253,0.213146421484093
"chr15_g46971.t1",999,0.213146421484093
"chr19_g47468.t1",14.62569,0.213146421484093
"chr21_g3369.t1",130.67729,0.214102031887242
"chr07_g51998.t4.Loss.Vert.Bar",999,0.229476720220158
